"cnt.Var1" "cnt.Freq"
"1988" "台上" " 10"
"1991" "搜查" " 10"
"1992" "松开" " 10"
"1993" "思索" " 10"
"1994" "手法" " 10"
"1995" "世界" " 10"
"1996" "十九年" " 10"
"1997" "十点" " 10"
"1998" "失望" " 10"
"2000" "神经" " 10"
"2002" "山野" " 10"
"2003" "丧服" " 10"
"2007" "裙子" " 10"
"2009" "球场" " 10"
"2010" "氰化氢" " 10"
"2011" "情绪" " 10"
"2012" "情景" " 10"
"2013" "巧合" " 10"
"2014" "女佣" " 10"
"2015" "男方" " 10"
"2016" "奶茶" " 10"
"2017" "目的地" " 10"
"2019" "名称" " 10"
"2020" "美容院" " 10"
"2021" "漫画" " 10"
"2022" "马路" " 10"
"2023" "留言" " 10"
"2025" "链条" " 10"
"2027" "理所当然" " 10"
"2028" "冷静" " 10"
"2029" "困惑" " 10"
"2031" "空气" " 10"
"2032" "课程" " 10"
"2034" "可怕" " 10"
"2036" "卡车" " 10"
"2037" "巨人" " 10"
"2038" "镜片" " 10"
"2040" "角度" " 10"
"2041" "剪纸" " 10"
"2042" "驾驶" " 10"
"2043" "家人" " 10"
"2044" "加工" " 10"
"2046" "货车" " 10"
"2048" "环视" " 10"
"2051" "黑暗" " 10"
"2054" "好友" " 10"
"2055" "含意" " 10"
"2056" "过意不去" " 10"
"2057" "光顾" " 10"
"2058" "关心" " 10"
"2059" "关掉" " 10"
"2060" "故事" " 10"
"2063" "父母" " 10"
"2064" "扶梯" " 10"
"2065" "房租" " 10"
"2066" "饭店" " 10"
"2070" "电梯" " 10"
"2071" "电车" " 10"
"2072" "等待" " 10"
"2073" "当初" " 10"
"2075" "大小" " 10"
"2076" "大阪府" " 10"
"2077" "存款" " 10"
"2079" "抽屉" " 10"
"2080" "成员" " 10"
"2081" "沉重" " 10"
"2082" "车厢" " 10"
"2083" "朝向" " 10"
"2085" "参与" " 10"
"2086" "不可思议" " 10"
"2087" "不动产" " 10"
"2088" "脖子" " 10"
"2090" "悲伤" " 10"
